Name	InDbName	InDbType	AltURI	thing:locatedIn
WEST	West	Region	thing:Place	
EAST	East	Region	thing:Place	
SOUTH	South	Region	thing:Place	
2762	Safran-2762	SampledField	thing:Place	West
2501	Safran-2501	SampledField	thing:Place	West
2503	Safran-2503	SampledField	thing:Place	West
2885	Safran-2885	SampledField	thing:Place	West
3271	Safran-3271	SampledField	thing:Place	West
3400	Safran-3400	SampledField	thing:Place	West
2890	Safran-2890	SampledField	thing:Place	West
2895	Safran-2895	SampledField	thing:Place	West
2639	Safran-2639	SampledField	thing:Place	West
2379	Safran-2379	SampledField	thing:Place	West
2256	Safran-2256	SampledField	thing:Place	West
4970	Safran-4970	SampledField	thing:Place	West
4156	Safran-4156	SampledField	thing:Place	West
4039	Safran-4039	SampledField	thing:Place	West
4158	Safran-4158	SampledField	thing:Place	West
4778	Safran-4778	SampledField	thing:Place	East
4198	Safran-4198	SampledField	thing:Place	East
2196	Safran-2196	SampledField	thing:Place	East
2440	Safran-2440	SampledField	thing:Place	East
2823	Safran-2823	SampledField	thing:Place	East
3850	Safran-3850	SampledField	thing:Place	East
3599	Safran-3599	SampledField	thing:Place	East
3599	Safran-3599	SampledField	thing:Place	East
4085	Safran-4085	SampledField	thing:Place	East
4085	Safran-4085	SampledField	thing:Place	East
4086	Safran-4086	SampledField	thing:Place	East
4085	Safran-4085	SampledField	thing:Place	East
4314	Safran-4314	SampledField	thing:Place	East
4314	Safran-4314	SampledField	thing:Place	East
4314	Safran-4314	SampledField	thing:Place	East
8481	Safran-8481	SampledField	thing:Place	South
8481	Safran-8481	SampledField	thing:Place	South
8481	Safran-8481	SampledField	thing:Place	South
9166	Safran-9166	SampledField	thing:Place	South
9005	Safran-9005	SampledField	thing:Place	South
8918	Safran-8918	SampledField	thing:Place	South
8918	Safran-8918	SampledField	thing:Place	South
9325	Safran-9325	SampledField	thing:Place	South
9325	Safran-9325	SampledField	thing:Place	South
9257	Safran-9257	SampledField	thing:Place	South
9180	Safran-9180	SampledField	thing:Place	South
8919	Safran-8919	SampledField	thing:Place	South
8919	Safran-8919	SampledField	thing:Place	South
8919	Safran-8919	SampledField	thing:Place	South
8918	Safran-8918	SampledField	thing:Place	South
8918	Safran-8918	SampledField	thing:Place	South
9177	Safran-9177	SampledField	thing:Place	South
9177	Safran-9177	SampledField	thing:Place	South
4314	Safran-4314	SampledField	thing:Place	East
4198	Safran-4198	SampledField	thing:Place	East
4778	Safran-4778	SampledField	thing:Place	East
3828	Safran-3828	SampledField	thing:Place	East
3828	Safran-3828	SampledField	thing:Place	East
2196	Safran-2196	SampledField	thing:Place	East
2440	Safran-2440	SampledField	thing:Place	East
2439	Safran-2439	SampledField	thing:Place	East
2823	Safran-2823	SampledField	thing:Place	East
2955	Safran-2955	SampledField	thing:Place	East
3972	Safran-3972	SampledField	thing:Place	East
3599	Safran-3599	SampledField	thing:Place	East
3600	Safran-3600	SampledField	thing:Place	East
3599	Safran-3599	SampledField	thing:Place	East
4086	Safran-4086	SampledField	thing:Place	East
4085	Safran-4085	SampledField	thing:Place	East
4085	Safran-4085	SampledField	thing:Place	East
4202	Safran-4202	SampledField	thing:Place	East
9100	Safran-9100	SampledField	thing:Place	South
9100	Safran-9100	SampledField	thing:Place	South
8918	Safran-8918	SampledField	thing:Place	South
9007	Safran-9007	SampledField	thing:Place	South
8481	Safran-8481	SampledField	thing:Place	South
8481	Safran-8481	SampledField	thing:Place	South
8481	Safran-8481	SampledField	thing:Place	South
8481	Safran-8481	SampledField	thing:Place	South
8481	Safran-8481	SampledField	thing:Place	South
9259	Safran-9259	SampledField	thing:Place	South
9259	Safran-9259	SampledField	thing:Place	South
9177	Safran-9177	SampledField	thing:Place	South
9177	Safran-9177	SampledField	thing:Place	South
9100	Safran-9100	SampledField	thing:Place	South
3398	Safran-3398	SampledField	thing:Place	West
2634	Safran-2634	SampledField	thing:Place	West
2762	Safran-2762	SampledField	thing:Place	West
2764	Safran-2764	SampledField	thing:Place	West
2639	Safran-2639	SampledField	thing:Place	West
3400	Safran-3400	SampledField	thing:Place	West
2885	Safran-2885	SampledField	thing:Place	West
